modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
6.9,138.76800,138.76800,17.55398,17.55398,3.00436,3.00436,10.18470,10.18470,6.19566,6.19566,160.00,160.00,0.00,0.00
7.0,139.20053,139.20053,17.26617,17.26617,2.86125,2.86125,10.17773,10.17773,6.16564,6.16564,160.00,160.00,0.00,0.00
7.1,139.62741,139.62741,16.97937,16.97937,2.72386,2.72386,10.16985,10.16985,6.13495,6.13495,160.00,160.00,0.00,0.00
7.2,140.04856,140.04856,16.69369,16.69369,2.59203,2.59203,10.16106,10.16106,6.10361,6.10361,160.00,160.00,0.00,0.00
7.3,140.46393,140.46393,16.40925,16.40925,2.46564,2.46564,10.15135,10.15135,6.07166,6.07166,160.00,160.00,0.00,0.00
7.4,140.87345,140.87345,16.12617,16.12617,2.34454,2.34454,10.14073,10.14073,6.03913,6.03913,160.00,160.00,0.00,0.00
7.5,141.27708,141.27708,15.84455,15.84455,2.22857,2.22857,10.12918,10.12918,6.00605,6.00605,160.00,160.00,0.00,0.00
7.6,141.67477,141.67477,15.56452,15.56452,2.11759,2.11759,10.11672,10.11672,5.97245,5.97245,160.00,160.00,0.00,0.00
7.7,142.06650,142.06650,15.28618,15.28618,2.01144,2.01144,10.10334,10.10334,5.93837,5.93837,160.00,160.00,0.00,0.00
7.8,142.45223,142.45223,15.00964,15.00964,1.90999,1.90999,10.08903,10.08903,5.90384,5.90384,160.00,160.00,0.00,0.00
7.9,142.83195,142.83195,14.73502,14.73502,1.81307,1.81307,10.07381,10.07381,5.86888,5.86888,160.00,160.00,0.00,0.00
8.0,143.20564,143.20564,14.46240,14.46240,1.72053,1.72053,10.05768,0.00000,5.83353,5.83353,160.00,160.00,0.00,0.00
8.1,143.57331,143.56726,14.19191,14.52492,1.63222,1.68656,10.04063,0.00000,5.79782,5.79795,160.00,160.00,0.00,0.00
8.2,143.93494,143.90736,13.92363,14.58776,1.54801,1.65344,10.02266,0.00000,5.76178,5.76238,160.00,160.00,0.00,0.00
8.3,144.29055,144.22698,13.65766,14.65091,1.46773,1.62114,10.00379,0.00000,5.72543,5.72683,160.00,160.00,0.00,0.00
8.4,144.64015,144.52716,13.39411,14.71438,1.39124,1.58964,9.98402,0.00000,5.68881,5.69131,160.00,160.00,0.00,0.00
8.5,144.98375,144.80884,13.13305,14.77814,1.31840,1.55892,9.96334,0.00000,5.65195,5.65581,160.00,160.00,0.00,0.00
8.6,145.32137,145.07298,12.87458,14.84222,1.24907,1.52897,9.94177,0.00000,5.61486,5.62035,160.00,160.00,0.00,0.00
8.7,145.65304,145.32045,12.61878,14.90659,1.18311,1.49976,9.91931,0.00000,5.57758,5.58493,160.00,160.00,0.00,0.00
8.8,145.97879,145.55213,12.36574,14.97125,1.12039,1.47127,9.89597,0.00000,5.54013,5.54956,160.00,160.00,0.00,0.00
8.9,146.29865,145.76881,12.11552,15.03621,1.06076,1.44348,9.87175,0.00000,5.50254,5.51424,160.00,160.00,0.00,0.00
9.0,146.61266,145.97129,11.86821,15.10146,1.00410,1.41638,9.84666,0.00000,5.46482,5.47899,160.00,160.00,0.00,0.00
9.1,146.92086,146.16030,11.62387,15.16700,0.95029,1.38994,9.82071,0.00000,5.42700,5.44379,160.00,160.00,0.00,0.00
9.2,147.22328,146.33655,11.38257,15.23282,0.89920,1.36416,9.79390,0.00000,5.38911,5.40867,160.00,160.00,0.00,0.00
9.3,147.51999,146.50072,11.14437,15.29892,0.85072,1.33901,9.76625,0.00000,5.35116,5.37363,160.00,160.00,0.00,0.00
9.4,147.81102,146.65344,10.90933,15.36530,0.80471,1.31448,9.73777,0.00000,5.31317,5.33866,160.00,160.00,0.00,0.00
