minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
142,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.0931390516526256,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
143,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.0733599900165984,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
144,2.886735731054311,4,2.886735731054311,0,1.1132642689456889,0,0,0,1.0535809283805713,0,false,2.886735731054311,0,4,0,0,0,0,0,0,0
145,2.886735731054311,3.783333333333334,2.886735731054311,0,0.896597602279023,0,0,0,1.033801866744544,0,false,2.886735731054311,0,3.783333333333334,0,0,0,0,0,0,0
146,2.886735731054311,3.5666666666666687,2.886735731054311,0,0.6799309356123575,0,0,0,1.01787226248716,0,false,2.886735731054311,0,3.5666666666666687,0,0,0,0,0,0,0
147,2.886735731054311,3.349999999999997,2.886735731054311,0,0.46326426894568584,0,0,0,1.0057921156084186,0,false,2.886735731054311,0,3.349999999999997,0,0,0,0,0,0,0
148,2.886735731054311,3.1333333333333315,2.886735731054311,0,0.2465976022790204,0,0,0,0.9975614261083204,0,false,2.886735731054311,0,3.1333333333333315,0,0,0,0,0,0,0
149,2.886735731054311,2.9166666666666656,2.886735731054311,0,0.029930935612354492,0,0,0,0.9931801939868652,0,false,2.886735731054311,0,2.9166666666666656,0,0,0,0,0,0,0
150,2.886735731054311,2.7,2.7,0.18673573105431096,0,0,0,0,0.9926484192440529,0,false,2.886735731054311,0,2.7,0,0,0,0,0,0,0
151,2.886735731054311,2.4833333333333343,2.4833333333333343,0.40340239772097686,0,0,0,0,0.9955679799635838,0,false,2.886735731054311,0,2.4833333333333343,0,0,0,0,0,0,0
152,2.886735731054311,2.2666666666666684,2.2666666666666684,0.6200690643876428,0,0,0,0,1.0018750631763207,0,false,2.886735731054311,0,2.2666666666666684,0,0,0,0,0,0,0
153,2.886735731054311,2.0500000000000025,2.0500000000000025,0.8367357310543087,0,0,0,0,1.0115696688822633,0,false,2.886735731054311,0,2.0500000000000025,0,0,0,0,0,0,0
154,2.886735731054311,1.8333333333333313,1.8333333333333313,1.0534023977209799,0,0,0,0,1.0246517970814117,0,false,2.886735731054311,0,1.8333333333333313,0,0,0,0,0,0,0
155,2.886735731054311,1.6166666666666658,1.6166666666666658,1.2700690643876453,0,0,0,0,1.041121447773766,0,false,2.886735731054311,0,1.6166666666666658,0,0,0,0,0,0,0
