minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW
77,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
78,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
79,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
80,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
81,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
82,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
83,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
84,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
85,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
86,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
87,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
88,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
89,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
90,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
91,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
92,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
93,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
94,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
95,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
96,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
97,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
98,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
99,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
100,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
101,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
102,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
103,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
104,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
105,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
106,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
