minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
93,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6124713509166853,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
94,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6104590156436256,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
95,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.608446680370566,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
96,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6064343450975063,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
97,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6044220098244466,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
98,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.602409674551387,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
99,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.6003973392783273,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
100,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5983850040052676,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
101,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.596372668732208,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
102,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5943603334591483,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
103,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5923479981860886,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
104,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.590335662913029,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
105,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5883233276399693,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
106,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5863109923669096,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
107,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.58429865709385,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
108,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5822863218207903,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
109,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5802739865477307,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
110,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.578261651274671,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
111,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5762493160016113,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
112,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5742369807285517,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
113,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.572224645455492,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
114,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5702123101824323,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
115,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5681999749093727,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
116,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.566187639636313,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
117,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5641753043632534,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
118,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.5621629690901937,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
119,2.886735731054311,3,2.886735731054311,0,0.11326426894568886,0,0,0,3.560150633817134,0,false,2.886735731054311,0,3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.5581382985440744,0,false,0,0,0,0,0,0,0,0,0,0
