modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
6.7,144.57357,144.57357,19.16916,19.16916,3.96164,3.96164,10.03440,10.03440,6.15852,6.15852,8.12923,8.12923,6.47149,6.47149,180.00,180.00,10.00,10.00
6.8,145.26071,145.26071,18.90391,18.90391,3.79898,3.79898,10.02851,10.02851,6.13185,6.13185,7.97178,7.97178,6.48004,6.48004,180.00,180.00,10.00,10.00
6.9,145.94084,145.94084,18.63927,18.63927,3.64182,3.64182,10.02182,10.02182,6.10451,6.10451,7.81573,7.81573,6.48798,6.48798,180.00,180.00,10.00,10.00
7.0,146.61368,146.61368,18.37532,18.37532,3.49005,3.49005,10.01433,10.01433,6.07653,6.07653,7.66109,7.66109,6.49531,6.49531,180.00,180.00,10.00,10.00
7.1,147.27900,147.27900,18.11215,18.11215,3.34357,3.34357,10.00605,10.00605,6.04793,6.04793,7.50791,7.50791,6.50202,6.50202,180.00,180.00,10.00,10.00
7.2,147.93657,147.93657,17.84985,17.84985,3.20226,3.20226,9.99696,9.99696,6.01872,6.01872,7.35623,7.35623,6.50810,6.50810,180.00,180.00,10.00,10.00
7.3,148.58617,148.58617,17.58850,17.58850,3.06603,3.06603,9.98707,9.98707,5.98895,5.98895,7.20607,7.20607,6.51356,6.51356,180.00,180.00,10.00,10.00
7.4,149.22761,149.22761,17.32819,17.32819,2.93475,2.93475,9.97639,9.97639,5.95863,5.95863,7.05748,7.05748,6.51837,6.51837,180.00,180.00,10.00,10.00
7.5,149.86073,149.86073,17.06900,17.06900,2.80830,2.80830,9.96489,9.96489,5.92779,5.92779,6.91048,6.91048,6.52254,6.52254,180.00,180.00,10.00,10.00
7.6,150.48537,150.48537,16.81102,16.81102,2.68658,2.68658,9.95260,9.95260,5.89646,5.89646,6.76510,6.76510,6.52606,6.52606,180.00,180.00,10.00,10.00
7.7,151.10139,151.10139,16.55433,16.55433,2.56946,2.56946,9.93951,9.93951,5.86466,5.86466,6.62138,6.62138,6.52893,6.52893,180.00,180.00,10.00,10.00
7.8,151.70866,151.70866,16.29901,16.29901,2.45682,2.45682,9.92562,9.92562,5.83242,5.83242,6.47935,6.47935,6.53114,6.53114,180.00,180.00,10.00,10.00
7.9,152.30708,152.30708,16.04514,16.04514,2.34855,2.34855,9.91093,9.91093,5.79976,5.79976,6.33904,6.33904,6.53269,6.53269,180.00,180.00,10.00,10.00
8.0,152.89656,152.89656,15.79280,15.79280,2.24451,2.24451,9.89545,9.89545,5.76671,5.76671,6.20046,1.24009,6.53357,6.53357,180.00,180.00,10.00,10.00
8.1,153.47701,153.67902,15.54206,15.54208,2.14459,2.14460,9.87918,9.87918,5.73329,5.73329,6.06367,1.19929,6.53379,6.49925,180.00,180.00,10.00,10.00
8.2,154.04838,154.43851,15.29302,15.29311,2.04867,2.04868,9.86211,9.86212,5.69953,5.69953,5.92866,1.15993,6.53333,6.46471,180.00,180.00,10.00,10.00
8.3,154.61062,155.17547,15.04573,15.04593,1.95663,1.95666,9.84427,9.84427,5.66545,5.66545,5.79548,1.12195,6.53220,6.42999,180.00,180.00,10.00,10.00
8.4,155.16368,155.89040,14.80028,14.80063,1.86834,1.86839,9.82564,9.82564,5.63108,5.63108,5.66414,1.08531,6.53040,6.39508,180.00,180.00,10.00,10.00
8.5,155.70754,156.58380,14.55673,14.55726,1.78369,1.78376,9.80623,9.80623,5.59644,5.59644,5.53467,1.04996,6.52792,6.36001,180.00,180.00,10.00,10.00
8.6,156.24219,157.25616,14.31515,14.31589,1.70256,1.70265,9.78605,9.78606,5.56156,5.56156,5.40709,1.01588,6.52477,6.32480,180.00,180.00,10.00,10.00
8.7,156.76762,157.90800,14.07561,14.07658,1.62483,1.62495,9.76511,9.76511,5.52644,5.52645,5.28141,0.98300,6.52094,6.28945,180.00,180.00,10.00,10.00
8.8,157.28385,158.53984,13.83817,13.83940,1.55039,1.55054,9.74340,9.74341,5.49113,5.49113,5.15766,0.95129,6.51644,6.25398,180.00,180.00,10.00,10.00
8.9,157.79088,159.15221,13.60290,13.60439,1.47913,1.47930,9.72093,9.72095,5.45564,5.45564,5.03585,0.92071,6.51126,6.21842,180.00,180.00,10.00,10.00
9.0,158.28874,159.74561,13.36985,13.37163,1.41092,1.41112,9.69772,9.69774,5.41998,5.41999,4.91599,0.89123,6.50541,6.18276,180.00,180.00,10.00,10.00
9.1,158.77747,160.32059,13.13908,13.14115,1.34567,1.34590,9.67377,9.67379,5.38419,5.38419,4.79809,0.86279,6.49889,6.14702,180.00,180.00,10.00,10.00
9.2,159.25712,160.87765,12.91065,12.91302,1.28327,1.28351,9.64908,9.64911,5.34827,5.34828,4.68218,0.83537,6.49170,6.11123,180.00,180.00,10.00,10.00
9.3,159.72772,161.41731,12.68461,12.68728,1.22360,1.22387,9.62366,9.62370,5.31225,5.31226,4.56825,0.80893,6.48385,6.07538,180.00,180.00,10.00,10.00
9.4,160.18933,161.94009,12.46101,12.46398,1.16657,1.16686,9.59753,9.59757,5.27615,5.27616,4.45631,0.78343,6.47535,6.03949,180.00,180.00,10.00,10.00
9.5,160.64203,162.44649,12.23989,12.24317,1.11207,1.11239,9.57068,9.57073,5.23998,5.23999,4.34638,0.75885,6.46618,6.00357,180.00,180.00,10.00,10.00
9.6,161.08588,162.93701,12.02130,12.02488,1.06002,1.06035,9.54313,9.54319,5.20377,5.20378,4.23845,0.73514,6.45637,5.96764,180.00,180.00,10.00,10.00
9.7,161.52095,163.41214,11.80528,11.80916,1.01030,1.01066,9.51489,9.51496,5.16752,5.16753,4.13253,0.71227,6.44591,5.93169,180.00,180.00,10.00,10.00
9.8,161.94733,163.87236,11.59187,11.59605,0.96284,0.96321,9.48596,9.48605,5.13125,5.13127,4.02862,0.69023,6.43481,5.89575,180.00,180.00,10.00,10.00
9.9,162.36510,164.31814,11.38111,11.38557,0.91753,0.91791,9.45636,9.45646,5.09498,5.09500,3.92672,0.66897,6.42308,5.85983,180.00,180.00,10.00,10.00
10.0,162.77434,164.74995,11.17302,11.17776,0.87429,0.87469,9.42609,9.42621,5.05872,5.05874,3.82682,0.64846,6.41072,5.82392,180.00,180.00,10.00,10.00
10.1,163.17516,165.16824,10.96764,10.97266,0.83304,0.83345,9.39517,9.39530,5.02249,5.02251,3.72892,0.62868,6.39775,5.78805,180.00,180.00,10.00,10.00
10.2,163.56764,165.57344,10.76500,10.77028,0.79370,0.79411,9.36361,9.36375,4.98630,4.98632,3.63302,0.60961,6.38417,5.75221,180.00,180.00,10.00,10.00
10.3,163.95190,165.96600,10.56512,10.57066,0.75617,0.75660,9.33141,9.33157,4.95015,4.95018,3.53911,0.59121,6.36999,5.71643,180.00,180.00,10.00,10.00
10.4,164.32802,166.34631,10.36802,10.37380,0.72039,0.72082,9.29859,9.29877,4.91407,4.91410,3.44718,0.57346,6.35521,5.68070,180.00,180.00,10.00,10.00
10.5,164.69612,166.71480,10.17373,10.17974,0.68628,0.68672,9.26516,9.26536,4.87806,4.87809,3.35722,0.55634,6.33985,5.64503,180.00,180.00,10.00,10.00
10.6,165.05630,167.07186,9.98225,9.98849,0.65377,0.65422,9.23113,9.23135,4.84214,4.84217,3.26922,0.53982,6.32392,5.60943,180.00,180.00,10.00,10.00
10.7,165.40868,167.41786,9.79361,9.80006,0.62279,0.62324,9.19652,9.19676,4.80631,4.80635,3.18316,0.52388,6.30743,5.57391,180.00,180.00,10.00,10.00
10.8,165.75336,167.75319,9.60781,9.61447,0.59328,0.59372,9.16133,9.16159,4.77058,4.77062,3.09903,0.50851,6.29038,5.53847,180.00,180.00,10.00,10.00
10.9,166.09046,168.07820,9.42487,9.43171,0.56516,0.56560,9.12558,9.12587,4.73497,4.73501,3.01681,0.49367,6.27279,5.50312,180.00,180.00,10.00,10.00
11.0,166.42008,168.39324,9.24478,9.25181,0.53837,0.53881,9.08928,9.08959,4.69948,4.69952,2.93649,0.47934,6.25467,5.46787,180.00,180.00,10.00,10.00
11.1,166.74236,168.69865,9.06757,9.07476,0.51286,0.51330,9.05245,9.05278,4.66411,4.66416,2.85804,0.46552,6.23604,5.43271,180.00,180.00,10.00,10.00
11.2,167.05739,168.99475,8.89322,8.90057,0.48857,0.48901,9.01509,9.01544,4.62888,4.62893,2.78145,0.45218,6.21689,5.39767,180.00,180.00,10.00,10.00
11.3,167.36530,169.28186,8.72173,8.72923,0.46544,0.46587,8.97722,8.97760,4.59380,4.59385,2.70670,0.43930,6.19725,5.36273,180.00,180.00,10.00,10.00
11.4,167.66621,169.56029,8.55311,8.56074,0.44342,0.44385,8.93885,8.93925,4.55886,4.55892,2.63376,0.42686,6.17713,5.32791,180.00,180.00,10.00,10.00
11.5,167.96023,169.83032,8.38734,8.39510,0.42245,0.42288,8.90000,8.90043,4.52409,4.52414,2.56261,0.41485,6.15654,5.29321,180.00,180.00,10.00,10.00
11.6,168.24748,170.09224,8.22443,8.23229,0.40250,0.40292,8.86068,8.86113,4.48947,4.48952,2.49322,0.40325,6.13549,5.25864,180.00,180.00,10.00,10.00
11.7,168.52808,170.34632,8.06435,8.07232,0.38351,0.38392,8.82090,8.82138,4.45502,4.45507,2.42558,0.39205,6.11399,5.22419,180.00,180.00,10.00,10.00
11.8,168.80214,170.59282,7.90711,7.91517,0.36544,0.36584,8.78068,8.78119,4.42074,4.42080,2.35965,0.38124,6.09206,5.18988,180.00,180.00,10.00,10.00
11.9,169.06979,170.83201,7.75268,7.76082,0.34824,0.34864,8.74003,8.74057,4.38664,4.38670,2.29541,0.37078,6.06972,5.15570,180.00,180.00,10.00,10.00
12.0,169.33114,171.06412,7.60105,7.60927,0.33187,0.33226,8.69896,8.69953,4.35272,4.35278,2.23283,0.36069,6.04696,5.12166,180.00,180.00,10.00,10.00
12.1,169.58630,171.28940,7.45221,7.46049,0.31629,0.31668,8.65750,8.65809,4.31898,4.31904,2.17189,0.35093,6.02382,5.08777,180.00,180.00,10.00,10.00
12.2,169.83539,171.50806,7.30614,7.31446,0.30148,0.30185,8.61564,8.61626,4.28543,4.28549,2.11255,0.34150,6.00030,5.05402,180.00,180.00,10.00,10.00
12.3,170.07853,171.72032,7.16281,7.17118,0.28738,0.28775,8.57341,8.57407,4.25207,4.25214,2.05479,0.33239,5.97640,5.02042,180.00,180.00,10.00,10.00
12.4,170.31584,171.92641,7.02220,7.03060,0.27397,0.27433,8.53083,8.53151,4.21891,4.21898,1.99857,0.32358,5.95216,4.98697,180.00,180.00,10.00,10.00
12.5,170.54742,172.12651,6.88429,6.89272,0.26121,0.26156,8.48790,8.48861,4.18595,4.18601,1.94387,0.31506,5.92758,4.95368,180.00,180.00,10.00,10.00
12.6,170.77338,172.32083,6.74906,6.75751,0.24907,0.24941,8.44463,8.44537,4.15318,4.15325,1.89066,0.30683,5.90267,4.92054,180.00,180.00,10.00,10.00
12.7,170.99385,172.50955,6.61648,6.62494,0.23752,0.23785,8.40105,8.40182,4.12062,4.12069,1.83891,0.29886,5.87745,4.88756,180.00,180.00,10.00,10.00
12.8,171.20894,172.69285,6.48652,6.49499,0.22653,0.22686,8.35717,8.35796,4.08826,4.08833,1.78858,0.29116,5.85192,4.85474,180.00,180.00,10.00,10.00
12.9,171.41874,172.87091,6.35916,6.36763,0.21608,0.21639,8.31300,8.31382,4.05611,4.05618,1.73966,0.28371,5.82611,4.82208,180.00,180.00,10.00,10.00
13.0,171.62338,173.04390,6.23436,6.24282,0.20613,0.20644,8.26855,8.26940,4.02416,4.02423,1.69210,0.27651,5.80003,4.78958,180.00,180.00,10.00,10.00
13.1,171.82296,173.21197,6.11210,6.12055,0.19667,0.19697,8.22384,8.22472,3.99242,3.99250,1.64587,0.26953,5.77368,4.75726,180.00,180.00,10.00,10.00
13.2,172.01758,173.37529,5.99235,6.00077,0.18767,0.18797,8.17888,8.17979,3.96090,3.96097,1.60095,0.26278,5.74708,4.72510,180.00,180.00,10.00,10.00
13.3,172.20736,173.53401,5.87506,5.88346,0.17911,0.17940,8.13368,8.13462,3.92958,3.92966,1.55731,0.25625,5.72025,4.69310,180.00,180.00,10.00,10.00
13.4,172.39239,173.68826,5.76022,5.76858,0.17097,0.17124,8.08826,8.08923,3.89848,3.89856,1.51491,0.24993,5.69319,4.66128,180.00,180.00,10.00,10.00
13.5,172.57278,173.83818,5.64778,5.65611,0.16322,0.16348,8.04264,8.04363,3.86759,3.86767,1.47373,0.24381,5.66593,4.62963,180.00,180.00,10.00,10.00
13.6,172.74864,173.98392,5.53771,5.54600,0.15584,0.15610,7.99682,7.99784,3.83692,3.83699,1.43374,0.23788,5.63846,4.59815,180.00,180.00,10.00,10.00
13.7,172.92005,174.12561,5.42998,5.43822,0.14882,0.14907,7.95082,7.95187,3.80645,3.80653,1.39490,0.23214,5.61080,4.56684,180.00,180.00,10.00,10.00
13.8,173.08713,174.26335,5.32455,5.33275,0.14215,0.14239,7.90465,7.90572,3.77621,3.77629,1.35719,0.22658,5.58296,4.53571,180.00,180.00,10.00,10.00
13.9,173.24996,174.39729,5.22139,5.22953,0.13579,0.13603,7.85832,7.85942,3.74617,3.74625,1.32057,0.22120,5.55496,4.50475,180.00,180.00,10.00,10.00
14.0,173.40865,174.52752,5.12046,5.12855,0.12974,0.12997,7.81185,7.81298,3.71636,3.71644,1.28503,0.21598,5.52680,4.47396,180.00,180.00,10.00,10.00
14.1,173.56328,174.65417,5.02173,5.02975,0.12399,0.12421,7.76525,7.76640,3.68675,3.68683,1.25053,0.21092,5.49850,4.44336,180.00,180.00,10.00,10.00
14.2,173.71396,174.77734,4.92515,4.93312,0.11851,0.11872,7.71852,7.71970,3.65736,3.65745,1.21704,0.20603,5.47007,4.41292,180.00,180.00,10.00,10.00
14.3,173.86077,174.89714,4.83070,4.83860,0.11329,0.11350,7.67169,7.67289,3.62819,3.62827,1.18454,0.20128,5.44151,4.38267,180.00,180.00,10.00,10.00
14.4,174.00381,175.01367,4.73833,4.74616,0.10833,0.10853,7.62477,7.62599,3.59923,3.59931,1.15301,0.19667,5.41284,4.35259,180.00,180.00,10.00,10.00
14.5,174.14316,175.12702,4.64801,4.65577,0.10360,0.10379,7.57776,7.57901,3.57048,3.57057,1.12240,0.19221,5.38407,4.32269,180.00,180.00,10.00,10.00
14.6,174.27891,175.23729,4.55970,4.56739,0.09910,0.09928,7.53067,7.53195,3.54195,3.54203,1.09270,0.18788,5.35520,4.29296,180.00,180.00,10.00,10.00
14.7,174.41114,175.34457,4.47337,4.48098,0.09481,0.09499,7.48353,7.48482,3.51363,3.51371,1.06389,0.18368,5.32625,4.26342,180.00,180.00,10.00,10.00
