input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
2.5,0.00014580000132678001,0.014580000132678001,1.7923999708108398,2.5,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.525,0.0001478250013452075,0.014782500134520751,1.7478499704054347,2.525,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.55,0.000149850001363635,0.014985000136363499,1.7032999700000304,2.55,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.575,0.00015187500138206253,0.015187500138206253,1.6587499695946244,2.575,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.6,0.00015390000140049002,0.015390000140049003,1.6141999691892193,2.6,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.625,0.0001559250014189175,0.01559250014189175,1.569649968783815,2.625,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.65,0.000157950001437345,0.0157950001437345,1.5250999683784099,2.65,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.675,0.00015997500145577249,0.01599750014557725,1.4805499679730052,2.675,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.7,0.0001620000014742,0.01620000014742,1.4359999675676,2.7,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.725,0.00016402500149262754,0.016402500149262755,1.3914499671621936,2.725,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.75,0.00016605000151105498,0.016605000151105498,1.3468999667567907,2.75,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.775,0.00016807500152948252,0.01680750015294825,1.3023499663513847,2.775,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.8,0.00017010000154790998,0.017010000154790997,1.2577999659459809,2.8,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.825,0.0001721250015663375,0.01721250015663375,1.2132499655405748,2.825,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.85,0.00017415000158476504,0.017415000158476503,1.1686999651351693,2.85,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.875,0.0001761750016031925,0.01761750016031925,1.1241499647297655,2.875,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.9,0.00017820000162162002,0.017820000162162,1.0795999643243595,2.9,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.925,0.00018022500164004748,0.018022500164004748,1.0350499639189557,2.925,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.95,0.000182250001658475,0.0182250001658475,0.9904999635135496,2.95,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.975,0.00018427500167690253,0.018427500167690253,0.945949963108144,2.975,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3,0.00018630000169533,0.018630000169533,0.9013999627027403,3,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.025,0.0001883250017137575,0.018832500171375752,0.8568499622973347,3.025,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.05,0.00019035000173218497,0.0190350001732185,0.81229996189193,3.05,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.075,0.0001923750017506125,0.01923750017506125,0.7677499614865244,3.075,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.1,0.00019440000176904003,0.019440000176904004,0.7231999610811188,3.1,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.125,0.0001964250017874675,0.01964250017874675,0.678649960675715,3.125,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.15,0.000198450001805895,0.0198450001805895,0.6340999602703103,3.15,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.175,0.00020047500182432247,0.020047500182432246,0.5895499598649057,3.175,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.2,0.00020250000184275,0.020250000184275002,0.5449999594594992,3.2,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.225,0.00020452500186117752,0.02045250018611775,0.5004499590540945,3.225,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.25,0.00020655000187960498,0.020655000187960498,0.4558999586486907,3.25,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.275,0.00020857500189803253,0.020857500189803254,0.41134995824328424,3.275,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.3,0.00021060000191646,0.021060000191646,0.36679995783788044,3.3,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.325,0.0002126250019348875,0.02126250019348875,0.32224995743247487,3.325,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.35,0.00021465000195331505,0.021465000195331506,0.2776999570270684,3.35,active,manual,5,12345.6789,220,,100,0.7,0.2,,
3.375,0.00021667500197174248,0.02166750019717425,0.2331499566216655,3.375,active,manual,5,12345.6789,220,,100,0.7,0.2,,
