relative_light_level,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
46,0.0001312879767079037,0.013128797670790369,2.111664512426119,2.012879767079037,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
46.5,0.00012992016954723848,0.012992016954723847,2.1417562699607537,1.9992016954723848,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
47,0.00012853961296970673,0.012853961296970673,2.172128514666452,1.985396129697067,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
47.5,0.00012714649893652108,0.012714649893652109,2.202777023396536,1.9714649893652108,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
48,0.00012574102963369287,0.012574102963369287,2.2336973480587567,1.9574102963369289,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
48.5,0.0001243234174565519,0.01243234174565519,2.2648848159558583,1.9432341745655193,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
49,0.00012289388497838526,0.012289388497838526,2.2963345304755243,1.9289388497838524,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
49.5,0.0001214526649028684,0.01214526649028684,2.328041372136895,1.914526649028684,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
50,0.00012,0.012,2.36,1.9,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
50.5,0.0001185361430252896,0.01185361430252896,2.3922048534436287,1.885361430252896,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
51,0.00011706135662199135,0.011706135662199135,2.4246501543161902,1.8706135662199133,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
51.5,0.00011557591320621897,0.011557591320621896,2.4573299094631826,1.8557591320621896,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
52,0.00011408009483482328,0.011408009483482327,2.490237913633888,1.8408009483482326,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
52.5,0.0001125741930559611,0.01125741930559611,2.5233677527688556,1.825741930559611,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
53,0.00011105850874233279,0.011105850874233278,2.5567128076686787,1.8105850874233278,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
53.5,0.00010953335190711579,0.010953335190711578,2.5902662580434526,1.795333519071158,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
54,0.00010799904150267346,0.010799904150267346,2.624021086941184,1.7799904150267345,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
54.5,0.00010645590520217005,0.010645590520217005,2.6579700855522588,1.7645590520217005,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
55,0.00010490427916427595,0.010490427916427595,2.692105858385929,1.7490427916427596,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
55.5,0.00010334450778120065,0.010334450778120065,2.726420828813586,1.7334450778120065,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
56,0.000101776943410345,0.0101776943410345,2.76090724497241,1.7177694341034502,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
56.5,0.00010020194608991772,0.010020194608991772,2.7955571860218105,1.7020194608991772,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
57,0.00009861988323891382,0.009861988323891383,2.8303625687438956,1.6861988323891381,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
57.5,0.00009703112934190787,0.009703112934190787,2.8653151544780266,1.6703112934190787,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
58,0.00009543606561916384,0.009543606561916385,2.900406556378395,1.6543606561916384,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
58.5,0.00009383507968261718,0.009383507968261718,2.935628246982422,1.6383507968261717,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
59,0.00009222856517833347,0.009222856517833347,2.970971566076664,1.6222856517833346,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
59.5,0.00009061692141609559,0.009061692141609559,3.006427728845897,1.6061692141609556,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
60,0.00008900055298681901,0.0089000552986819,3.0419878342899818,1.59000552986819,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
60.5,0.00008737986936853793,0.008737986936853792,3.0776428738921657,1.5737986936853794,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
61,0.00008575528452174771,0.00857552845217477,3.1133837405215505,1.557552845217477,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
61.5,0.00008412721647492809,0.008412721647492809,3.149201237551582,1.5412721647492809,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
62,0.00008249608690110848,0.008249608690110847,3.1850860881756136,1.5249608690110845,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
