"RepresentativePath","TopArea","Extension","Lines","Bytes","DuplicateCount","DuplicatePaths","Sha256"
"view_teacher_history_tab_source.jsx","(root)",".jsx","86","4406",,"view_teacher_history_tab_source.jsx","B0141E3052ED663FFB4B533174AD3488CCA3C87768DB60D6C03B17C83B12C8FB"
"view_timeline_source.jsx","(root)",".jsx","103","22291",,"view_timeline_source.jsx","2E75F6F8A52B1FE1BF8D59BE7E7AB9BBB4A9CB8BD2D3D30DF200D932CFC81278"
"view_udl_guide_button_source.jsx","(root)",".jsx","42","1953",,"view_udl_guide_button_source.jsx","AC7D7DF242141EBA99CE4235490F455BF02254B37265D6C5211CD8E00E436071"
"view_visual_supports_modal_source.jsx","(root)",".jsx","204","12075",,"view_visual_supports_modal_source.jsx","82AFA035F7DD75B9D911D65BE981F91308AD5F1B25D39E03905C108845E5BF31"
"view_word_sounds_preview_source.jsx","(root)",".jsx","37","2441",,"view_word_sounds_preview_source.jsx","B0D021D8A71F2D0BBA6A67FF6706CA04886070DD20CABF54669DBAA251937D02"
"view_xp_modal_source.jsx","(root)",".jsx","91","5282",,"view_xp_modal_source.jsx","14807748436AA4EF3D951F9E08F6C56FDD1BCB07247E4782F5E5F3C108219F6A"
"visual_panel_source.jsx","(root)",".jsx","1603","118908",,"visual_panel_source.jsx","0792B3C824017834D278A76D2A35165E3504C7ABCF777E7C2D10E5FBE170FE75"
"vitest.config.js","(root)",".js","32","1570",,"vitest.config.js","1A7B7554E2D23F644A859D296F3ABA9CC1D62F0604F8F9234653FBDD9E200A91"
"voice_config_module.js","(root)",".js","132","6578",,"voice_config_module.js","569777457C4D74FD8041D5E863294E2EA67D40E216B8BC92FA354D1710BBF036"
"voice_module.js","(root)",".js","919","38827",,"voice_module.js","F1E73FB0628ABCA94F4058D3C2226B1EE2DABA2B4270071F9F29759EC243A9A5"
"word_sounds_module.js","(root)",".js","15273","663969",,"word_sounds_module.js","5AF806F2A5F9B411F5E4F733C5B8DEE077EDC93368D195FF24F4DC8166628D42"
"word_sounds_setup_source.jsx","(root)",".jsx","2757","234188",,"word_sounds_setup_source.jsx","A2595F16742F014C9D035A2FED820AB7702B5120A9A12C6250DB60A17809CFA0"
".claude/hooks/append-letter.mjs",".claude",".mjs","75","2764",,".claude/hooks/append-letter.mjs","A46429EA6E40DDF19E16EC6BA5C51FAD15B73B6D82E4E629E21E332B4638B5C6"
".claude/hooks/extract-signals.mjs",".claude",".mjs","77","2930",,".claude/hooks/extract-signals.mjs","4F2AC248F49905BBA8ACC77F3E1B3259C8A5DE1132C6E93924E3A9ED077EE55D"
"_dev/browser_strict_check.cjs","_dev",".cjs","204","8641",,"_dev/browser_strict_check.cjs","87DE6087701A73F502FFD315CB531E67FE08A85ED884B0FDA587261561A249FC"
"_dev/contrast_audit/_audit_df347335_regression_v2.cjs","_dev",".cjs","262","12068",,"_dev/contrast_audit/_audit_df347335_regression_v2.cjs","7AF3B047F9553B3F0F64489740C899504D4A687A1C18567BB23356A6A20BBE09"
"_dev/contrast_audit/_audit_df347335_regression_v3.cjs","_dev",".cjs","216","9788",,"_dev/contrast_audit/_audit_df347335_regression_v3.cjs","C13130C161AB5E960A9123521746583F76AF19BD8B5056300840137E367556AB"
"_dev/contrast_audit/_audit_stem_contrast.cjs","_dev",".cjs","406","17895",,"_dev/contrast_audit/_audit_stem_contrast.cjs","FE5CB613914DF99A985AB722A5FFFC0A9D3366BB600CF84B4DDA2045B554B8B4"
"_dev/contrast_audit/_audit_stem_contrast_v2.cjs","_dev",".cjs","622","27897",,"_dev/contrast_audit/_audit_stem_contrast_v2.cjs","F7ABF70572A73077B1262CF9B53241614F50FAE525933C472EF8BEF291561B9B"
"_dev/contrast_audit/_classify_tool_themes.cjs","_dev",".cjs","201","10883",,"_dev/contrast_audit/_classify_tool_themes.cjs","366FAFC4F56907690DF4CCE1F592265DD351867232E037D25AD885405FEDA1C6"
"_dev/contrast_audit/_dump_color_frequency.cjs","_dev",".cjs","82","4891",,"_dev/contrast_audit/_dump_color_frequency.cjs","91EF1B137D2DFF9AA74F94BDCCECB3A1329A2C69BF580AF05907A4221A47B09E"
"_dev/contrast_audit/_dump_tool_findings.cjs","_dev",".cjs","225","10238",,"_dev/contrast_audit/_dump_tool_findings.cjs","FC84DDEB02F9ECF83434556C0982A72567D779B3B1383C4DBD542CAC9DEBB474"
"_dev/contrast_audit/_fix_df347335_regressions.cjs","_dev",".cjs","124","5508",,"_dev/contrast_audit/_fix_df347335_regressions.cjs","BEFC231CCB8145F728583BE87ED87BB0463A15B89035D95DB0B098197520852F"
