modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment,soil_detritus_baseline,soil_detritus_experiment,soil_decomposers_baseline,soil_decomposers_experiment,soil_nutrients_baseline,soil_nutrients_experiment,soil_exported_baseline,soil_exported_experiment
6.1,67.91278,67.91278,19.33466,19.33466,4.66170,4.66170,10.00848,10.00848,6.26771,6.26771,8.56253,8.56253,6.37741,6.37741,180.00,180.00,10.00,10.00,42.09520248,42.09520248,16.76257979,16.76257979,0.01601227,0.01601227,0.00000000,0.00000000
6.2,67.98986,67.98986,19.03089,19.03089,4.46414,4.46414,10.00431,10.00431,6.24382,6.24382,8.38677,8.38677,6.38742,6.38742,180.00,180.00,10.00,10.00,42.13609327,42.13609327,16.96973006,16.96973006,0.01621365,0.01621365,0.00000000,0.00000000
6.3,68.10451,68.10451,18.72821,18.72821,4.27322,4.27322,9.99924,9.99924,6.21910,6.21910,8.21271,8.21271,6.39680,6.39680,180.00,180.00,10.00,10.00,42.17227439,42.17227439,17.17928385,17.17928385,0.01641700,0.01641700,0.00000000,0.00000000
6.4,68.25637,68.25637,18.42676,18.42676,4.08885,4.08885,9.99328,9.99328,6.19360,6.19360,8.04042,8.04042,6.40553,6.40553,180.00,180.00,10.00,10.00,42.20377098,42.20377098,17.39125723,17.39125723,0.01662233,0.01662233,0.00000000,0.00000000
6.5,68.44507,68.44507,18.12667,18.12667,3.91093,3.91093,9.98641,9.98641,6.16732,6.16732,7.86994,7.86994,6.41361,6.41361,180.00,180.00,10.00,10.00,42.23060784,42.23060784,17.60566606,17.60566606,0.01682964,0.01682964,0.00000000,0.00000000
6.6,68.67025,68.67025,17.82809,17.82809,3.73934,3.73934,9.97864,9.97864,6.14030,6.14030,7.70133,7.70133,6.42104,6.42104,180.00,180.00,10.00,10.00,42.25280954,42.25280954,17.82252603,17.82252603,0.01703894,0.01703894,0.00000000,0.00000000
6.7,68.93157,68.93157,17.53114,17.53114,3.57397,3.57397,9.96996,9.96996,6.11257,6.11257,7.53463,7.53463,6.42780,6.42780,180.00,180.00,10.00,10.00,42.27040031,42.27040031,18.04185261,18.04185261,0.01725023,0.01725023,0.00000000,0.00000000
6.8,69.22872,69.22872,17.23595,17.23595,3.41469,3.41469,9.96037,9.96037,6.08414,6.08414,7.36989,7.36989,6.43389,6.43389,180.00,180.00,10.00,10.00,42.28340410,42.28340410,18.26366105,18.26366105,0.01746351,0.01746351,0.00000000,0.00000000
6.9,69.56137,69.56137,16.94264,16.94264,3.26139,3.26139,9.94986,9.94986,6.05506,6.05506,7.20716,7.20716,6.43931,6.43931,180.00,180.00,10.00,10.00,42.29184454,42.29184454,18.48796638,18.48796638,0.01767879,0.01767879,0.00000000,0.00000000
7.0,69.92923,69.92923,16.65135,16.65135,3.11393,3.11393,9.93845,9.93845,6.02535,6.02535,7.04647,7.04647,6.44404,6.44404,180.00,180.00,10.00,10.00,42.29574497,42.29574497,18.71478335,18.71478335,0.01789607,0.01789607,0.00000000,0.00000000
